seed,system,score_key,target_risk,tau,validation_coverage,validation_selective_risk,coverage,selective_risk,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
789,chosen_softmax_risk_control,chosen_softmax,0.1,0.91,0.44126506024096385,0.09385665529010238,0.4510542168674699,0.09515859766277128,1328,664,664,0.927710843373494,0.6475903614457831,0.75,0.01388888888888884,0.3493975903614458,0.0
789,chosen_softmax_risk_control,chosen_softmax,0.15,0.72,0.6430722891566265,0.148711943793911,0.670933734939759,0.1537598204264871,1328,664,664,0.8253012048192772,0.7846385542168675,0.6206896551724137,0.005692599620493288,0.2063253012048193,0.0
789,chosen_softmax_risk_control,chosen_softmax,0.2,0.6,0.766566265060241,0.19646365422396855,0.7808734939759037,0.20154291224686596,1328,664,664,0.7379518072289156,0.8253012048192772,0.5057471264367817,0.014285714285714235,0.1566265060240964,0.0
789,max_softmax_risk_control,max_softmax,0.05,0.97,0.3230421686746988,0.04895104895104895,0.3411144578313253,0.07505518763796909,1328,664,664,0.9578313253012049,0.5496987951807228,0.7142857142857142,-0.008174386920980936,0.44728915662650603,0.0
789,max_softmax_risk_control,max_softmax,0.1,0.91,0.44126506024096385,0.09385665529010238,0.4510542168674699,0.09515859766277128,1328,664,664,0.927710843373494,0.6475903614457831,0.75,0.01388888888888884,0.3493975903614458,0.0
789,max_softmax_risk_control,max_softmax,0.15,0.72,0.6430722891566265,0.148711943793911,0.670933734939759,0.1537598204264871,1328,664,664,0.8253012048192772,0.7846385542168675,0.6206896551724137,0.005692599620493288,0.2063253012048193,0.0
789,max_softmax_risk_control,max_softmax,0.2,0.6,0.766566265060241,0.19646365422396855,0.7808734939759037,0.20154291224686596,1328,664,664,0.7379518072289156,0.8253012048192772,0.5057471264367817,0.014285714285714235,0.1566265060240964,0.0
789,unknown_inverse_risk_control,unknown_inverse,0.05,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
789,unknown_inverse_risk_control,unknown_inverse,0.1,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
789,unknown_inverse_risk_control,unknown_inverse,0.15,0.98,0.3614457831325301,0.14583333333333334,0.3682228915662651,0.14519427402862986,1328,664,664,0.9036144578313253,0.6295180722891566,0.6875,-0.0023529411764705577,0.35993975903614456,0.0
789,unknown_inverse_risk_control,unknown_inverse,0.2,0.93,0.4420180722891566,0.19420783645655879,0.44728915662650603,0.20202020202020202,1328,664,664,0.8358433734939759,0.713855421686747,0.4862385321100917,-0.006185567010309256,0.26957831325301207,0.0
999,chosen_softmax_risk_control,chosen_softmax,0.05,0.99,0.25,0.0391566265060241,0.24924698795180722,0.045317220543806644,1328,664,664,0.9789156626506024,0.4442771084337349,0.8571428571428572,0.1322033898305084,0.5557228915662651,0.0
999,chosen_softmax_risk_control,chosen_softmax,0.1,0.92,0.42846385542168675,0.09666080843585237,0.41792168674698793,0.0972972972972973,1328,664,664,0.9412650602409639,0.6099397590361446,0.8461538461538463,0.10024449877750619,0.38403614457831325,0.0
999,chosen_softmax_risk_control,chosen_softmax,0.15,0.75,0.615210843373494,0.14932680538555693,0.6212349397590361,0.14424242424242426,1328,664,664,0.8599397590361446,0.7469879518072289,0.5698924731182795,0.10536779324055656,0.24246987951807228,0.0
999,chosen_softmax_risk_control,chosen_softmax,0.2,0.62,0.7454819277108434,0.198989898989899,0.7582831325301205,0.19860973187686196,1328,664,664,0.7680722891566265,0.8057228915662651,0.5194805194805194,0.11111111111111116,0.17319277108433734,0.0
999,max_softmax_risk_control,max_softmax,0.05,0.99,0.25,0.0391566265060241,0.24924698795180722,0.045317220543806644,1328,664,664,0.9789156626506024,0.4442771084337349,0.8571428571428572,0.1322033898305084,0.5557228915662651,0.0
999,max_softmax_risk_control,max_softmax,0.1,0.92,0.42846385542168675,0.09666080843585237,0.41792168674698793,0.0972972972972973,1328,664,664,0.9412650602409639,0.6099397590361446,0.8461538461538463,0.10024449877750619,0.38403614457831325,0.0
999,max_softmax_risk_control,max_softmax,0.15,0.75,0.615210843373494,0.14932680538555693,0.6212349397590361,0.14424242424242426,1328,664,664,0.8599397590361446,0.7469879518072289,0.5698924731182795,0.10536779324055656,0.24246987951807228,0.0
999,max_softmax_risk_control,max_softmax,0.2,0.62,0.7454819277108434,0.198989898989899,0.7582831325301205,0.19860973187686196,1328,664,664,0.7680722891566265,0.8057228915662651,0.5194805194805194,0.11111111111111116,0.17319277108433734,0.0
999,unknown_inverse_risk_control,unknown_inverse,0.05,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
999,unknown_inverse_risk_control,unknown_inverse,0.1,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
999,unknown_inverse_risk_control,unknown_inverse,0.15,0.99,0.32981927710843373,0.1232876712328767,0.32228915662650603,0.09345794392523364,1328,664,664,0.947289156626506,0.5843373493975904,0.7142857142857142,0.06870229007633588,0.40813253012048195,0.0
999,unknown_inverse_risk_control,unknown_inverse,0.2,0.95,0.41566265060240964,0.19384057971014493,0.4171686746987952,0.18231046931407943,1328,664,664,0.8629518072289156,0.6822289156626506,0.5604395604395604,0.079913606911447,0.30271084337349397,0.0
