seed,tau_amb,tau_dis,split,score,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_abs_amb,false_abstention_rate
789,0.925,0.01,test,0.9412650602409638,1328,0.9909638554216867,0.891566265060241,1.0,1.0,0.06927710843373494
789,0.925,0.02,val,0.9314759036144578,1328,0.9969879518072289,0.8659638554216867,1.0,1.0,0.08132530120481928
789,0.925,0.02,test,0.9405120481927711,1328,0.9909638554216867,0.8900602409638554,1.0,1.0,0.07078313253012049
789,0.925,0.03,val,0.9314759036144578,1328,0.9969879518072289,0.8659638554216867,1.0,1.0,0.08283132530120482
789,0.925,0.03,test,0.9405120481927711,1328,0.9909638554216867,0.8900602409638554,1.0,1.0,0.07228915662650602
789,0.925,0.04,val,0.9314759036144578,1328,0.9969879518072289,0.8659638554216867,1.0,1.0,0.08283132530120482
789,0.925,0.04,test,0.9405120481927711,1328,0.9909638554216867,0.8900602409638554,1.0,1.0,0.07379518072289157
789,0.925,0.05,val,0.9299698795180722,1328,0.9969879518072289,0.8629518072289156,1.0,1.0,0.0858433734939759
789,0.925,0.05,test,0.9397590361445782,1328,0.9909638554216867,0.8885542168674698,1.0,1.0,0.07530120481927711
789,0.925,0.06,val,0.9299698795180722,1328,0.9969879518072289,0.8629518072289156,1.0,1.0,0.08885542168674698
789,0.925,0.06,test,0.9397590361445782,1328,0.9909638554216867,0.8885542168674698,1.0,1.0,0.07530120481927711
789,0.925,0.07,val,0.9299698795180722,1328,0.9969879518072289,0.8629518072289156,1.0,1.0,0.08885542168674698
789,0.925,0.07,test,0.9397590361445782,1328,0.9909638554216867,0.8885542168674698,1.0,1.0,0.07530120481927711
789,0.925,0.08,val,0.9299698795180722,1328,0.9969879518072289,0.8629518072289156,1.0,1.0,0.09186746987951808
789,0.925,0.08,test,0.9390060240963856,1328,0.9909638554216867,0.8870481927710844,1.0,1.0,0.07680722891566265
789,0.925,0.09,val,0.9292168674698795,1328,0.9969879518072289,0.8614457831325302,1.0,1.0,0.09337349397590361
789,0.925,0.09,test,0.9390060240963856,1328,0.9909638554216867,0.8870481927710844,1.0,1.0,0.0783132530120482
789,0.925,0.1,val,0.9292168674698795,1328,0.9969879518072289,0.8614457831325302,1.0,1.0,0.09337349397590361
789,0.925,0.1,test,0.9382530120481928,1328,0.9909638554216867,0.8855421686746988,1.0,1.0,0.07981927710843373
999,0.9,0.0,val,0.9292168674698795,1328,0.9939759036144579,0.8644578313253012,0.0,0.0,0.0677710843373494
999,0.9,0.0,test,0.9329819277108433,1328,0.9924698795180723,0.8734939759036144,0.6000000000000001,0.6000000000000001,0.07981927710843373
999,0.9,0.01,val,0.927710843373494,1328,0.9939759036144579,0.8614457831325302,0.0,0.0,0.07078313253012049
999,0.9,0.01,test,0.9329819277108433,1328,0.9924698795180723,0.8734939759036144,0.6000000000000001,0.6000000000000001,0.07981927710843373
999,0.9,0.02,val,0.9269578313253013,1328,0.9939759036144579,0.8599397590361446,0.0,0.0,0.07530120481927711
999,0.9,0.02,test,0.9322289156626506,1328,0.9924698795180723,0.8719879518072289,0.6000000000000001,0.6000000000000001,0.08433734939759036
999,0.9,0.03,val,0.9254518072289157,1328,0.9939759036144579,0.8569277108433735,0.0,0.0,0.08283132530120482
999,0.9,0.03,test,0.9322289156626506,1328,0.9924698795180723,0.8719879518072289,0.6000000000000001,0.6000000000000001,0.08885542168674698
999,0.9,0.04,val,0.9246987951807228,1328,0.9939759036144579,0.8554216867469879,0.0,0.0,0.0858433734939759
999,0.9,0.04,test,0.9322289156626506,1328,0.9924698795180723,0.8719879518072289,0.6000000000000001,0.6000000000000001,0.09036144578313253
999,0.9,0.05,val,0.9239457831325302,1328,0.9939759036144579,0.8539156626506024,0.0,0.0,0.08734939759036145
999,0.9,0.05,test,0.9314759036144579,1328,0.9924698795180723,0.8704819277108434,0.6000000000000001,0.6000000000000001,0.09186746987951808
999,0.9,0.06,val,0.9239457831325302,1328,0.9939759036144579,0.8539156626506024,0.0,0.0,0.09186746987951808
999,0.9,0.06,test,0.9307228915662651,1328,0.9924698795180723,0.8689759036144579,0.6000000000000001,0.6000000000000001,0.09337349397590361
999,0.9,0.07,val,0.9224397590361446,1328,0.9939759036144579,0.8509036144578314,0.0,0.0,0.09487951807228916
999,0.9,0.07,test,0.9299698795180723,1328,0.9924698795180723,0.8674698795180723,0.6000000000000001,0.6000000000000001,0.0963855421686747
999,0.9,0.08,val,0.9216867469879518,1328,0.9939759036144579,0.8493975903614458,0.0,0.0,0.0963855421686747
999,0.9,0.08,test,0.9292168674698795,1328,0.9924698795180723,0.8659638554216867,0.6000000000000001,0.6000000000000001,0.09789156626506024
999,0.9,0.09,val,0.9216867469879518,1328,0.9939759036144579,0.8493975903614458,0.0,0.0,0.0963855421686747
999,0.9,0.09,test,0.9292168674698795,1328,0.9924698795180723,0.8659638554216867,0.6000000000000001,0.6000000000000001,0.09789156626506024
999,0.9,0.1,val,0.9216867469879518,1328,0.9939759036144579,0.8493975903614458,0.0,0.0,0.09789156626506024
999,0.9,0.1,test,0.9284638554216867,1328,0.9924698795180723,0.8644578313253012,0.6000000000000001,0.6000000000000001,0.10240963855421686
