artifact_schema_version,inference_scope,p_value_method,seed,frac,metric,delta,ci_lo,ci_hi,p_two_sided
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.1,acc_amb,-0.004518072289156683,-0.01179941002949858,0.0015220700152206446,0.23677632236776322
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.1,acc_dis,0.02409638554216864,0.013333333333333308,0.03647416413373861,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.1,far,-0.025602409638554216,-0.03834355828220859,-0.014376767287282871,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.01,acc_amb,0.05873493975903621,0.037257824143070106,0.08100147275405012,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.01,acc_dis,0.21536144578313254,0.18298455833862154,0.24926696904149176,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.01,far,-0.21686746987951808,-0.25147951007326,-0.18290854572713644,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.05,acc_amb,0.025602409638554202,0.012157593480035611,0.04012950480274326,0.00039996000399960006
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.05,acc_dis,0.027108433734939763,0.014903129657227954,0.04069833210565091,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.05,far,-0.03162650602409639,-0.04606292068665649,-0.018461538461538474,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.1,acc_amb,-0.004518072289156572,-0.01365705614567525,0.004437869822485174,0.38916108389161086
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.1,acc_dis,0.02259036144578319,0.011940298507462699,0.03468229888665113,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,456,0.1,far,-0.022590361445783136,-0.035451599741050756,-0.01104014145983374,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.01,acc_amb,0.0918674698795181,0.065475946925415,0.11908481140547816,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.01,acc_dis,0.13855421686746983,0.10987261146496818,0.16792796551892936,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.01,far,-0.14006024096385541,-0.17062403383144686,-0.10990468430571738,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.05,acc_amb,0.03313253012048201,0.016392832747853147,0.050898203592814384,0.00039996000399960006
