seed,system,score_key,target_risk,feature_mode,ambig_tau,disambig_tau,global_tau,condition_accuracy,global_coverage_at_fallback_tau,global_selective_risk_at_fallback_tau,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
789,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.05,"signals,embedding,category,primary",1.0,0.72,0.97,0.9984939759036144,0.3411144578313253,0.07505518763796909,1328,664,664,1.0,0.7831325301204819,,0.0076045627376426506,0.20783132530120482,0.0
789,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.1,"signals,embedding,category,primary",1.0,0.55,0.91,0.9984939759036144,0.4510542168674699,0.09515859766277128,1328,664,664,1.0,0.8478915662650602,,0.027491408934707806,0.12349397590361445,0.0
789,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.15,"signals,embedding,category,primary",1.0,0.35,0.72,0.9984939759036144,0.670933734939759,0.1537598204264871,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
789,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.2,"signals,embedding,category,primary",1.0,0.35,0.6,0.9984939759036144,0.7808734939759037,0.20154291224686596,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
789,condition_aware_max_softmax_risk_control,max_softmax,0.05,"signals,embedding,category,primary",1.0,0.72,0.97,0.9984939759036144,0.3411144578313253,0.07505518763796909,1328,664,664,1.0,0.7831325301204819,,0.0076045627376426506,0.20783132530120482,0.0
789,condition_aware_max_softmax_risk_control,max_softmax,0.1,"signals,embedding,category,primary",1.0,0.55,0.91,0.9984939759036144,0.4510542168674699,0.09515859766277128,1328,664,664,1.0,0.8478915662650602,,0.027491408934707806,0.12349397590361445,0.0
789,condition_aware_max_softmax_risk_control,max_softmax,0.15,"signals,embedding,category,primary",1.0,0.35,0.72,0.9984939759036144,0.670933734939759,0.1537598204264871,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
789,condition_aware_max_softmax_risk_control,max_softmax,0.2,"signals,embedding,category,primary",1.0,0.35,0.6,0.9984939759036144,0.7808734939759037,0.20154291224686596,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
789,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.05,"signals,embedding,category,primary",1.0,0.89,1.0,0.9984939759036144,0.0,0.0,1328,664,664,1.0,0.7695783132530121,,0.009487666034155628,0.2063253012048193,0.0
789,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.1,"signals,embedding,category,primary",1.0,0.36,1.0,0.9984939759036144,0.0,0.0,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
789,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.15,"signals,embedding,category,primary",1.0,0.03,0.98,0.9984939759036144,0.3682228915662651,0.14519427402862986,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
789,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.2,"signals,embedding,category,primary",1.0,0.03,0.93,0.9984939759036144,0.44728915662650603,0.20202020202020202,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
999,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.05,"signals,embedding,category,primary",1.0,0.83,0.99,1.0,0.24924698795180722,0.045317220543806644,1328,664,664,1.0,0.6927710843373494,,0.08779443254817987,0.29668674698795183,0.0
999,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.1,"signals,embedding,category,primary",1.0,0.56,0.92,1.0,0.41792168674698793,0.0972972972972973,1328,664,664,1.0,0.8343373493975904,,0.09440559440559437,0.13855421686746988,0.0
999,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.15,"signals,embedding,category,primary",1.0,0.34,0.75,1.0,0.6212349397590361,0.14424242424242426,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0
999,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.2,"signals,embedding,category,primary",1.0,0.34,0.62,1.0,0.7582831325301205,0.19860973187686196,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0
999,condition_aware_max_softmax_risk_control,max_softmax,0.05,"signals,embedding,category,primary",1.0,0.83,0.99,1.0,0.24924698795180722,0.045317220543806644,1328,664,664,1.0,0.6927710843373494,,0.08779443254817987,0.29668674698795183,0.0
999,condition_aware_max_softmax_risk_control,max_softmax,0.1,"signals,embedding,category,primary",1.0,0.56,0.92,1.0,0.41792168674698793,0.0972972972972973,1328,664,664,1.0,0.8343373493975904,,0.09440559440559437,0.13855421686746988,0.0
999,condition_aware_max_softmax_risk_control,max_softmax,0.15,"signals,embedding,category,primary",1.0,0.34,0.75,1.0,0.6212349397590361,0.14424242424242426,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0
999,condition_aware_max_softmax_risk_control,max_softmax,0.2,"signals,embedding,category,primary",1.0,0.34,0.62,1.0,0.7582831325301205,0.19860973187686196,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0
999,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.05,"signals,embedding,category,primary",1.0,0.95,1.0,1.0,0.0,0.0,1328,664,664,1.0,0.6822289156626506,,0.079913606911447,0.30271084337349397,0.0
999,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.1,"signals,embedding,category,primary",1.0,0.42,1.0,1.0,0.0,0.0,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0
999,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.15,"signals,embedding,category,primary",1.0,0.0,0.99,1.0,0.32228915662650603,0.09345794392523364,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0
999,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.2,"signals,embedding,category,primary",1.0,0.0,0.95,1.0,0.4171686746987952,0.18231046931407943,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0
