scope,seed,confidence_cut,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed
loco_uncertain_subset,42,0.8,seven_signal_moe_predicted,71,17,54,0.6470588235294118,0.48148148148148145,0.33333333333333326,0.4444444444444444,Age,1051
loco_uncertain_subset,42,0.9,simple_condition_only,94,24,70,0.7916666666666666,0.44285714285714284,0.19999999999999996,0.5,Age,1051
loco_uncertain_subset,42,0.9,hybrid_uncertain_signal_fallback,94,24,70,0.7083333333333334,0.5857142857142857,0.4285714285714286,0.3142857142857143,Age,1051
loco_uncertain_subset,42,0.9,seven_signal_moe_predicted,94,24,70,0.7083333333333334,0.5,0.4285714285714286,0.4142857142857143,Age,1051
loco_uncertain_subset,42,0.55,simple_condition_only,8,0,8,0.0,0.625,,0.375,Disability_status,2060
loco_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,8,0,8,0.0,0.625,,0.375,Disability_status,2060
loco_uncertain_subset,42,0.55,seven_signal_moe_predicted,8,0,8,0.0,0.75,,0.25,Disability_status,2060
loco_uncertain_subset,42,0.6,simple_condition_only,18,0,18,0.0,0.5555555555555556,,0.4444444444444444,Disability_status,2060
loco_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,18,0,18,0.0,0.5555555555555556,,0.4444444444444444,Disability_status,2060
loco_uncertain_subset,42,0.6,seven_signal_moe_predicted,18,0,18,0.0,0.6666666666666666,,0.3333333333333333,Disability_status,2060
loco_uncertain_subset,42,0.7,simple_condition_only,47,0,47,0.0,0.48936170212765956,,0.46808510638297873,Disability_status,2060
loco_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,47,0,47,0.0,0.48936170212765956,,0.46808510638297873,Disability_status,2060
loco_uncertain_subset,42,0.7,seven_signal_moe_predicted,47,0,47,0.0,0.6382978723404256,,0.3191489361702128,Disability_status,2060
loco_uncertain_subset,42,0.8,simple_condition_only,74,0,74,0.0,0.527027027027027,,0.4189189189189189,Disability_status,2060
loco_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,74,0,74,0.0,0.527027027027027,,0.4189189189189189,Disability_status,2060
loco_uncertain_subset,42,0.8,seven_signal_moe_predicted,74,0,74,0.0,0.6621621621621622,,0.28378378378378377,Disability_status,2060
loco_uncertain_subset,42,0.9,simple_condition_only,111,1,110,1.0,0.509090909090909,,0.42727272727272725,Disability_status,2060
loco_uncertain_subset,42,0.9,hybrid_uncertain_signal_fallback,111,1,110,1.0,0.509090909090909,,0.42727272727272725,Disability_status,2060
loco_uncertain_subset,42,0.9,seven_signal_moe_predicted,111,1,110,1.0,0.6272727272727273,,0.3090909090909091,Disability_status,2060
loco_uncertain_subset,42,0.55,simple_condition_only,6,3,3,0.6666666666666666,0.0,1.0,1.0,Gender_identity,3069
loco_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,6,3,3,0.6666666666666666,0.0,1.0,1.0,Gender_identity,3069
