scope,confidence_cut,system,n_runs,n_total_mean,n_total_std,n_ambig_mean,n_ambig_std,n_disambig_mean,n_disambig_std,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
clean_uncertain_subset,0.8,primary_answer,5,7.4,1.6733200530681511,3.0,2.1213203435596424,4.4,2.4083189157584592,0.4333333333333333,0.2788866755113585,0.8247619047619047,0.18572649532514104,0.11333333333333334,0.1757523510195209
clean_uncertain_subset,0.8,seven_signal_moe_predicted,5,7.4,1.6733200530681511,3.0,2.1213203435596424,4.4,2.4083189157584592,0.8,0.4472135954999579,0.7295238095238095,0.156579075239066,0.20857142857142857,0.1595202558239567
clean_uncertain_subset,0.8,simple_condition_only,5,7.4,1.6733200530681511,3.0,2.1213203435596424,4.4,2.4083189157584592,0.8,0.4472135954999579,0.6895238095238095,0.21323552179480332,0.24857142857142855,0.22932415738643352
clean_uncertain_subset,0.9,hybrid_uncertain_signal_fallback,5,17.6,2.073644135332772,7.6,2.8809720581775866,10.0,4.0,0.830952380952381,0.181015026749983,0.7389277389277389,0.2036461079321996,0.1731934731934732,0.17054512167223654
clean_uncertain_subset,0.9,primary_answer,5,17.6,2.073644135332772,7.6,2.8809720581775866,10.0,4.0,0.475,0.14594869101216107,0.7571095571095571,0.17377618469167327,0.13962703962703962,0.1384848857589087
clean_uncertain_subset,0.9,seven_signal_moe_predicted,5,17.6,2.073644135332772,7.6,2.8809720581775866,10.0,4.0,1.0,0.0,0.7235431235431236,0.17397305932678336,0.1731934731934732,0.12918569700753227
clean_uncertain_subset,0.9,simple_condition_only,5,17.6,2.073644135332772,7.6,2.8809720581775866,10.0,4.0,1.0,0.0,0.7053613053613054,0.20003612998947612,0.19137529137529138,0.1643116912865204
loco_uncertain_subset,0.55,hybrid_uncertain_signal_fallback,45,7.777777777777778,3.502524342196178,3.3333333333333335,2.8364510476041263,4.444444444444445,3.4611844764181496,0.5644980650662469,0.38475096601065645,0.44860902985902984,0.3600768545161216,0.42768967143967146,0.36258313698982336
loco_uncertain_subset,0.55,seven_signal_moe_predicted,45,7.777777777777778,3.502524342196178,3.3333333333333335,2.8364510476041263,4.444444444444445,3.4611844764181496,0.6489677620359439,0.38584769406156044,0.39335109335109336,0.3035301385260628,0.4866092241092241,0.3204272097118441
loco_uncertain_subset,0.55,simple_condition_only,45,7.777777777777778,3.502524342196178,3.3333333333333335,2.8364510476041263,4.444444444444445,3.4611844764181496,0.654649580217762,0.381653949978779,0.3303550616050616,0.29346493921916833,0.5541507104007104,0.3304893689380785
loco_uncertain_subset,0.6,hybrid_uncertain_signal_fallback,45,17.0,5.950553832131166,7.311111111111111,4.865566500803105,9.688888888888888,7.096164848392092,0.6206827631337435,0.3103869265131212,0.4358505311342422,0.27885969738516925,0.4974753473545842,0.2800076633196226
loco_uncertain_subset,0.6,seven_signal_moe_predicted,45,17.0,5.950553832131166,7.311111111111111,4.865566500803105,9.688888888888888,7.096164848392092,0.6462966953163032,0.31514971250052964,0.4118487619300007,0.22950818135139725,0.5250065283235316,0.22835899272259635
loco_uncertain_subset,0.6,simple_condition_only,45,17.0,5.950553832131166,7.311111111111111,4.865566500803105,9.688888888888888,7.096164848392092,0.6537041027237106,0.30897948984099044,0.3525908931687219,0.21218684927726236,0.5879681007885141,0.21970238453829782
