seed,scorer,coverage,risk,accuracy
456,condition_disambig_prob,0.3,0.07537688442211055,0.9246231155778895
456,condition_disambig_prob,0.4,0.096045197740113,0.903954802259887
456,condition_disambig_prob,0.5,0.125,0.875
456,condition_disambig_prob,0.6,0.19949811794228356,0.8005018820577164
456,condition_disambig_prob,0.7,0.23333333333333334,0.7666666666666666
456,condition_disambig_prob,0.8,0.256120527306968,0.743879472693032
456,condition_disambig_prob,0.9,0.2794979079497908,0.7205020920502092
456,condition_disambig_prob,1.0,0.2891566265060241,0.7108433734939759
456,moe_retention,0.1,0.007518796992481203,0.9924812030075187
456,moe_retention,0.2,0.007518796992481203,0.9924812030075187
456,moe_retention,0.3,0.005025125628140704,0.9949748743718593
456,moe_retention,0.4,0.01694915254237288,0.9830508474576272
456,moe_retention,0.5,0.030120481927710843,0.9698795180722891
456,moe_retention,0.6,0.0451693851944793,0.9548306148055207
456,moe_retention,0.7,0.07956989247311828,0.9204301075268817
456,moe_retention,0.8,0.1337099811676083,0.8662900188323917
456,moe_retention,0.9,0.21171548117154812,0.7882845188284519
456,moe_retention,1.0,0.2891566265060241,0.7108433734939759
789,chosen_softmax,0.1,0.007518796992481203,0.9924812030075187
789,chosen_softmax,0.2,0.045112781954887216,0.9548872180451128
789,chosen_softmax,0.3,0.07035175879396985,0.9296482412060302
789,chosen_softmax,0.4,0.08097928436911488,0.9190207156308852
789,chosen_softmax,0.5,0.10391566265060241,0.8960843373493976
789,chosen_softmax,0.6,0.13174404015056462,0.8682559598494354
789,chosen_softmax,0.7,0.16451612903225807,0.8354838709677419
789,chosen_softmax,0.8,0.20903954802259886,0.7909604519774012
789,chosen_softmax,0.9,0.2518828451882845,0.7481171548117155
789,chosen_softmax,1.0,0.2808734939759036,0.7191265060240963
789,unknown_inverse,0.1,0.03007518796992481,0.9699248120300752
789,unknown_inverse,0.2,0.07142857142857142,0.9285714285714286
789,unknown_inverse,0.3,0.11809045226130653,0.8819095477386935
789,unknown_inverse,0.4,0.16195856873822975,0.8380414312617702
789,unknown_inverse,0.5,0.22740963855421686,0.7725903614457832
789,unknown_inverse,0.6,0.29109159347553326,0.7089084065244667
789,unknown_inverse,0.7,0.34516129032258064,0.6548387096774193
789,unknown_inverse,0.8,0.3342749529190207,0.6657250470809792
789,unknown_inverse,0.9,0.30627615062761504,0.693723849372385
789,unknown_inverse,1.0,0.2808734939759036,0.7191265060240963
789,condition_disambig_prob,0.1,0.03759398496240601,0.9624060150375939
789,condition_disambig_prob,0.2,0.05639097744360902,0.943609022556391
789,condition_disambig_prob,0.3,0.05778894472361809,0.9422110552763819
789,condition_disambig_prob,0.4,0.07156308851224105,0.928436911487759
789,condition_disambig_prob,0.5,0.10843373493975904,0.891566265060241
789,condition_disambig_prob,0.6,0.1606022584692597,0.8393977415307403
789,condition_disambig_prob,0.7,0.2053763440860215,0.7946236559139785
789,condition_disambig_prob,0.8,0.2523540489642185,0.7476459510357816
789,condition_disambig_prob,0.9,0.27364016736401675,0.7263598326359832
789,condition_disambig_prob,1.0,0.2808734939759036,0.7191265060240963
789,moe_retention,0.1,0.0,1.0
789,moe_retention,0.2,0.0,1.0
789,moe_retention,0.3,0.005025125628140704,0.9949748743718593
789,moe_retention,0.4,0.007532956685499058,0.992467043314501
789,moe_retention,0.5,0.01957831325301205,0.9804216867469879
789,moe_retention,0.6,0.03136762860727729,0.9686323713927227
789,moe_retention,0.7,0.060215053763440864,0.9397849462365592
789,moe_retention,0.8,0.11487758945386065,0.8851224105461394
789,moe_retention,0.9,0.20251046025104602,0.797489539748954
789,moe_retention,1.0,0.2808734939759036,0.7191265060240963
999,chosen_softmax,0.1,0.015037593984962405,0.9849624060150376
999,chosen_softmax,0.2,0.02631578947368421,0.9736842105263158
999,chosen_softmax,0.3,0.06281407035175879,0.9371859296482412
999,chosen_softmax,0.4,0.08851224105461393,0.911487758945386
999,chosen_softmax,0.5,0.1144578313253012,0.8855421686746988
999,chosen_softmax,0.6,0.1355081555834379,0.8644918444165621
999,chosen_softmax,0.7,0.16881720430107527,0.8311827956989247
999,chosen_softmax,0.8,0.2137476459510358,0.7862523540489642
999,chosen_softmax,0.9,0.24435146443514644,0.7556485355648536
999,chosen_softmax,1.0,0.28463855421686746,0.7153614457831325
999,unknown_inverse,0.1,0.015037593984962405,0.9849624060150376
999,unknown_inverse,0.2,0.045112781954887216,0.9548872180451128
999,unknown_inverse,0.3,0.0829145728643216,0.9170854271356784
999,unknown_inverse,0.4,0.1751412429378531,0.8248587570621468
999,unknown_inverse,0.5,0.23343373493975902,0.766566265060241
999,unknown_inverse,0.6,0.3111668757841907,0.6888331242158092
999,unknown_inverse,0.7,0.35268817204301073,0.6473118279569893
999,unknown_inverse,0.8,0.3314500941619586,0.6685499058380414
999,unknown_inverse,0.9,0.30627615062761504,0.693723849372385
999,unknown_inverse,1.0,0.28463855421686746,0.7153614457831325
999,condition_disambig_prob,0.1,0.045112781954887216,0.9548872180451128
999,condition_disambig_prob,0.2,0.06766917293233082,0.9323308270676691
999,condition_disambig_prob,0.3,0.07035175879396985,0.9296482412060302
999,condition_disambig_prob,0.4,0.0903954802259887,0.9096045197740112
999,condition_disambig_prob,0.5,0.12650602409638553,0.8734939759036144
999,condition_disambig_prob,0.6,0.19071518193224593,0.8092848180677541
999,condition_disambig_prob,0.7,0.22795698924731184,0.7720430107526881
999,condition_disambig_prob,0.8,0.2504708097928437,0.7495291902071564
999,condition_disambig_prob,0.9,0.2702928870292887,0.7297071129707113
999,condition_disambig_prob,1.0,0.28463855421686746,0.7153614457831325
999,moe_retention,0.1,0.007518796992481203,0.9924812030075187
999,moe_retention,0.2,0.018796992481203006,0.981203007518797
999,moe_retention,0.3,0.02763819095477387,0.9723618090452262
999,moe_retention,0.4,0.026365348399246705,0.9736346516007532
999,moe_retention,0.5,0.025602409638554216,0.9743975903614458
999,moe_retention,0.6,0.04265997490589712,0.9573400250941029
999,moe_retention,0.7,0.06559139784946237,0.9344086021505377
999,moe_retention,0.8,0.12429378531073447,0.8757062146892656
999,moe_retention,0.9,0.2100418410041841,0.7899581589958159
999,moe_retention,1.0,0.28463855421686746,0.7153614457831325
